Animal_Type,Breed,Age,Gender,Weight,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Duration,Appetite_Loss,Vomiting,Diarrhea,Coughing,Labored_Breathing,Lameness,Skin_Lesions,Nasal_Discharge,Eye_Discharge,Body_Temperature,Heart_Rate
Cat,Bengal,3,Male,5.5,Lethargy,Vomiting,Diarrhea,Dehydration,3 days,Yes,Yes,Yes,No,No,No,No,No,No,39.3°C,140
Cow,Angus,5,Female,700,Fever,Decreased Milk Yield,Lethargy,Nasal Discharge,7 days,Yes,No,No,Yes,Yes,No,No,Yes,No,39.8°C,80
Dog,Golden Retriever,4,Male,30,Lameness,Swelling,Appetite Loss,Fever,10 days,Yes,No,No,No,No,Yes,No,No,No,39.5°C,110
Cat,Russian Blue,2,Female,4.5,Coughing,Nasal Discharge,Eye Discharge,Sneezing,5 days,No,No,No,Yes,No,No,No,Yes,Yes,38.8°C,150
Horse,Quarter Horse,9,Female,480,Coughing,Nasal Discharge,Fever,Labored Breathing,6 days,Yes,No,No,Yes,Yes,No,No,No,No,39.9°C,85
Dog,Chihuahua,1,Male,3,Vomiting,Diarrhea,Lethargy,Fever,3 days,Yes,Yes,Yes,No,No,No,No,No,No,39.4°C,135
Cat,Ragdoll,6,Male,6,Appetite Loss,Weight Loss,Vomiting,Lethargy,2 weeks,Yes,Yes,No,No,No,No,Yes,No,No,39.0°C,160
Cow,Hereford,3,Female,650,Lethargy,Fever,Decreased Milk Yield,Nasal Discharge,8 days,Yes,No,No,Yes,No,No,No,No,No,39.6°C,75
Dog,German Shepherd,5,Male,30,Lethargy,Labored Breathing,Coughing,Appetite Loss,6 days,Yes,No,No,Yes,Yes,No,No,No,No,39.6°C,125
Cat,Maine Coon,6,Female,7.5,Appetite Loss,Vomiting,Diarrhea,Skin Lesions,4 days,Yes,Yes,Yes,No,No,Yes,No,No,No,38.9°C,145
Horse,Thoroughbred,9,Male,500,Nasal Discharge,Coughing,Labored Breathing,Lethargy,10 days,No,No,No,Yes,Yes,No,No,Yes,No,40.0°C,78
Cow,Holstein,4,Female,580,Appetite Loss,Diarrhea,Lethargy,Decreased Milk Yield,7 days,Yes,No,Yes,No,No,No,No,No,No,39.4°C,82
Dog,Beagle,2,Female,9,Fever,Vomiting,Lethargy,Skin Lesions,3 days,Yes,Yes,No,No,No,Yes,Yes,No,No,39.2°C,132
Cat,Persian,8,Male,4.6,Appetite Loss,Vomiting,Eye Discharge,Lethargy,2 days,No,Yes,No,No,No,No,Yes,No,Yes,39.0°C,140
Horse,Appaloosa,6,Female,520,Lameness,Fever,Skin Lesions,Appetite Loss,5 days,No,No,No,No,No,Yes,Yes,No,No,39.8°C,76
Cow,Jersey,3,Male,620,Diarrhea,Lethargy,Appetite Loss,Decreased Milk Yield,8 days,Yes,No,Yes,No,No,No,No,No,No,39.7°C,79
Dog,Dachshund,7,Male,5.5,Coughing,Labored Breathing,Lethargy,Appetite Loss,2 weeks,Yes,No,No,Yes,Yes,No,No,No,No,39.5°C,120
Cat,Sphynx,4,Female,3.2,Eye Discharge,Nasal Discharge,Appetite Loss,Lethargy,1 week,No,No,No,Yes,Yes,No,No,Yes,Yes,39.3°C,150
Dog,Golden Retriever,4,Female,28,Lethargy,Vomiting,Diarrhea,Loss of Appetite,5 days,Yes,No,Yes,Yes,No,Yes,No,No,No,39.2°C,130
Cat,British Shorthair,3,Male,5.5,Appetite Loss,Coughing,Nasal Discharge,Eye Discharge,4 days,Yes,No,No,Yes,Yes,No,No,No,Yes,38.7°C,145
Horse,Arabian,10,Female,450,Lameness,Fever,Swollen Joints,Lethargy,8 days,No,No,No,Yes,Yes,No,No,No,No,39.4°C,75
Cow,Angus,6,Male,600,Coughing,Nasal Discharge,Labored Breathing,Fever,7 days,No,No,No,Yes,Yes,No,No,No,No,39.9°C,82
Dog,Bulldog,5,Male,22,Vomiting,Appetite Loss,Fever,Diarrhea,3 days,Yes,Yes,No,No,Yes,Yes,No,No,No,39.6°C,138
Cat,Siamese,2,Female,4,Sneezing,Eye Discharge,Appetite Loss,Lethargy,2 days,Yes,No,Yes,No,Yes,No,No,No,Yes,39.0°C,135
Horse,Quarter Horse,12,Male,500,Lameness,Fever,Swollen Joints,Reduced Appetite,5 days,No,No,No,Yes,No,Yes,No,No,No,39.7°C,78
Cow,Hereford,3,Female,570,Lethargy,Diarrhea,Appetite Loss,Dehydration,6 days,Yes,No,No,No,No,Yes,No,No,No,39.1°C,80
Dog,Poodle,8,Male,15,Coughing,Labored Breathing,Lethargy,Appetite Loss,1 week,Yes,No,Yes,No,Yes,No,No,No,Yes,39.3°C,126
Cat,Abyssinian,5,Female,4.5,Vomiting,Diarrhea,Loss of Appetite,Dehydration,3 days,No,Yes,No,Yes,No,Yes,No,Yes,No,38.5°C,142
Horse,Clydesdale,15,Male,600,Appetite Loss,Lethargy,Labored Breathing,Coughing,10 days,No,No,Yes,Yes,No,No,Yes,Yes,No,39.8°C,70
Cow,Brahman,7,Female,620,Fever,Coughing,Lethargy,Decreased Milk Yield,5 days,Yes,No,Yes,Yes,No,Yes,No,No,No,39.6°C,81
Dog,Husky,9,Male,25,Lethargy,Vomiting,Diarrhea,Loss of Appetite,4 days,Yes,Yes,No,Yes,Yes,No,No,No,No,39.1°C,124
Cat,Ragdoll,4,Female,5,Eye Discharge,Nasal Discharge,Coughing,Lethargy,6 days,Yes,No,No,Yes,No,Yes,Yes,No,No,38.6°C,148
Horse,Morgan,11,Female,520,Lameness,Swollen Joints,Reduced Appetite,Weight Loss,7 days,No,No,Yes,Yes,No,Yes,No,Yes,No,39.7°C,77
Cow,Limousin,2,Male,550,Diarrhea,Lethargy,Appetite Loss,Dehydration,4 days,Yes,No,No,Yes,Yes,No,Yes,No,No,39.5°C,85
Dog,Border Collie,3,Female,17,Coughing,Labored Breathing,Fever,Nasal Discharge,8 days,Yes,No,No,Yes,No,Yes,No,Yes,Yes,39.4°C,129
Cat,Devon Rex,6,Male,4.2,Vomiting,Appetite Loss,Lethargy,Weight Loss,9 days,Yes,No,Yes,No,Yes,No,Yes,No,No,38.9°C,146
Horse,Standardbred,7,Male,540,Lameness,Swollen Joints,Lethargy,Weight Loss,6 days,No,No,No,Yes,No,Yes,Yes,No,No,39.6°C,76
Cow,Red Angus,5,Female,620,Fever,Diarrhea,Lethargy,Appetite Loss,4 days,Yes,No,Yes,No,Yes,No,Yes,Yes,No,39.8°C,83
Dog,Chihuahua,3,Male,2.5,Sneezing,Eye Discharge,Labored Breathing,Lethargy,5 days,Yes,No,No,Yes,No,No,Yes,No,Yes,39.5°C,131
Cat,Sphynx,5,Female,3,Vomiting,Appetite Loss,Diarrhea,Weight Loss,6 days,Yes,Yes,No,No,Yes,No,Yes,No,No,38.7°C,143
Horse,Shire,10,Female,680,Lethargy,Fever,Appetite Loss,Weight Loss,10 days,No,No,Yes,Yes,No,Yes,No,No,No,39.9°C,74
Cow,Guernsey,4,Male,590,Appetite Loss,Lethargy,Diarrhea,Dehydration,5 days,Yes,No,No,Yes,No,No,Yes,No,No,39.3°C,84
Dog,Dachshund,7,Female,8,Vomiting,Diarrhea,Weight Loss,Appetite Loss,3 days,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,39.2°C,120
Cat,Maine Coon,9,Male,6.5,Lethargy,Appetite Loss,Weight Loss,Dehydration,8 days,Yes,Yes,Yes,No,No,No,Yes,Yes,No,39.0°C,140
Horse,Thoroughbred,14,Male,520,Coughing,Labored Breathing,Fever,Weight Loss,12 days,No,Yes,Yes,No,Yes,No,No,Yes,No,39.7°C,72
Cow,Jersey,6,Female,600,Fever,Nasal Discharge,Decreased Milk Yield,Lethargy,5 days,Yes,No,No,Yes,No,Yes,No,No,No,39.4°C,86
Dog,Labrador Retriever,11,Male,35,Lethargy,Loss of Appetite,Fever,Vomiting,7 days,Yes,No,No,Yes,No,Yes,No,Yes,No,39.3°C,118
Cat,Persian,8,Female,5,Coughing,Nasal Discharge,Eye Discharge,Loss of Appetite,4 days,Yes,No,Yes,No,Yes,No,Yes,No,No,38.9°C,147
Dog,German Shepherd,6,Female,30,Coughing,Labored Breathing,Lethargy,Loss of Appetite,6 days,Yes,No,Yes,No,Yes,No,No,No,Yes,39.4°C,125
Cat,Scottish Fold,4,Male,4.8,Sneezing,Eye Discharge,Appetite Loss,Lethargy,5 days,Yes,No,No,Yes,Yes,No,Yes,No,Yes,38.7°C,137
Horse,Appaloosa,10,Female,510,Lameness,Fever,Swollen Joints,Reduced Appetite,9 days,No,No,Yes,Yes,No,Yes,No,No,No,39.8°C,74
Cow,Holstein,7,Male,590,Coughing,Nasal Discharge,Labored Breathing,Lethargy,4 days,No,No,No,Yes,Yes,No,Yes,No,No,39.9°C,80
Dog,Beagle,5,Male,10,Vomiting,Diarrhea,Loss of Appetite,Fever,3 days,Yes,Yes,No,No,No,Yes,No,Yes,No,39.2°C,132
Cat,Bengal,3,Female,4.2,Lethargy,Vomiting,Diarrhea,Dehydration,6 days,Yes,No,Yes,Yes,No,Yes,No,No,No,39.1°C,145
Horse,Arabian,13,Male,490,Fever,Nasal Discharge,Labored Breathing,Lethargy,8 days,No,No,No,Yes,Yes,No,No,Yes,No,39.6°C,78
Cow,Simmental,8,Female,630,Loss of Appetite,Weight Loss,Lethargy,Reduced Milk Production,7 days,No,Yes,No,No,Yes,Yes,Yes,No,No,39.5°C,83
Dog,Rottweiler,7,Female,35,Vomiting,Diarrhea,Loss of Appetite,Dehydration,3 days,Yes,No,Yes,No,Yes,No,No,No,Yes,39.0°C,127
Cat,Siberian,2,Male,5.5,Coughing,Sneezing,Nasal Discharge,Eye Discharge,4 days,Yes,No,Yes,No,No,Yes,No,Yes,No,38.6°C,144
Horse,American Quarter,14,Female,520,Swollen Joints,Lameness,Fever,Loss of Appetite,10 days,No,No,Yes,Yes,Yes,No,No,No,No,39.7°C,75
Cow,Shorthorn,5,Male,600,Diarrhea,Dehydration,Lethargy,Loss of Appetite,5 days,Yes,No,No,Yes,No,Yes,No,No,Yes,39.4°C,84
Dog,Shih Tzu,4,Female,7,Coughing,Labored Breathing,Appetite Loss,Lethargy,6 days,Yes,No,Yes,No,Yes,Yes,No,No,No,39.3°C,133
Cat,American Curl,5,Male,3.7,Vomiting,Diarrhea,Dehydration,Weight Loss,3 days,Yes,Yes,No,No,Yes,Yes,No,No,No,38.8°C,148
Horse,Percheron,12,Male,600,Swollen Joints,Lameness,Appetite Loss,Weight Loss,5 days,No,No,No,Yes,Yes,No,No,Yes,No,39.9°C,72
Cow,Brahman,3,Female,570,Fever,Nasal Discharge,Lethargy,Coughing,4 days,Yes,No,No,Yes,No,Yes,No,No,Yes,39.8°C,86
Dog,Chihuahua,9,Male,2,Vomiting,Loss of Appetite,Diarrhea,Lethargy,2 days,Yes,Yes,No,No,No,Yes,No,No,Yes,39.1°C,128
Cat,Manx,4,Female,3.3,Eye Discharge,Nasal Discharge,Sneezing,Coughing,6 days,Yes,No,No,Yes,No,Yes,Yes,No,No,38.5°C,138
Horse,Tennessee Walker,16,Female,530,Weight Loss,Loss of Appetite,Lethargy,Fever,8 days,No,No,Yes,Yes,No,Yes,Yes,No,No,39.6°C,71
Cow,Jersey,6,Male,620,Weight Loss,Reduced Milk Production,Lethargy,Appetite Loss,7 days,Yes,No,Yes,No,Yes,Yes,No,No,No,39.4°C,87
Dog,Dalmatian,8,Female,20,Vomiting,Diarrhea,Weight Loss,Dehydration,4 days,Yes,No,Yes,No,Yes,No,No,Yes,No,39.0°C,120
Cat,Bombay,6,Male,4,Lethargy,Vomiting,Loss of Appetite,Weight Loss,5 days,Yes,No,No,Yes,Yes,No,Yes,No,No,38.9°C,149
Horse,Welsh Pony,10,Male,450,Lameness,Swollen Joints,Reduced Appetite,Weight Loss,9 days,No,No,Yes,Yes,Yes,No,No,Yes,No,39.8°C,76
Cow,Brown Swiss,3,Female,580,Diarrhea,Dehydration,Loss of Appetite,Lethargy,5 days,Yes,Yes,No,No,No,Yes,No,No,Yes,39.3°C,85
Dog,Akita,6,Male,35,Lethargy,Loss of Appetite,Fever,Vomiting,6 days,Yes,No,Yes,No,Yes,Yes,No,No,Yes,39.5°C,130
Cat,British Shorthair,7,Female,4.4,Nasal Discharge,Eye Discharge,Sneezing,Lethargy,4 days,Yes,No,No,Yes,No,Yes,Yes,No,No,38.6°C,142
Horse,Morgan,11,Female,530,Weight Loss,Swollen Joints,Reduced Appetite,Fever,8 days,No,Yes,Yes,No,Yes,No,No,Yes,No,39.7°C,74
Cow,Guernsey,5,Male,610,Nasal Discharge,Coughing,Labored Breathing,Fever,3 days,Yes,No,Yes,No,No,Yes,No,No,Yes,39.9°C,82
Dog,Boxer,8,Female,27,Vomiting,Lethargy,Diarrhea,Loss of Appetite,4 days,Yes,Yes,No,No,Yes,No,No,Yes,No,39.2°C,131
Cat,Abyssinian,4,Male,4.5,Eye Discharge,Lethargy,Nasal Discharge,Sneezing,5 days,Yes,No,No,Yes,Yes,No,No,Yes,No,38.8°C,140
Dog,Golden Retriever,5,Male,32,Vomiting,Diarrhea,Loss of Appetite,Lethargy,3 days,Yes,No,Yes,No,Yes,No,No,No,Yes,39.2°C,130
Cat,Persian,7,Female,4.1,Sneezing,Nasal Discharge,Eye Discharge,Lethargy,4 days,Yes,No,No,Yes,Yes,No,Yes,No,Yes,38.9°C,142
Horse,Thoroughbred,15,Male,480,Lameness,Swollen Joints,Appetite Loss,Fever,7 days,No,Yes,No,No,Yes,Yes,No,Yes,No,39.7°C,75
Cow,Limousin,6,Female,620,Weight Loss,Reduced Milk Production,Appetite Loss,Lethargy,10 days,Yes,Yes,No,Yes,No,Yes,No,No,Yes,39.4°C,85
Rabbit,Holland Lop,3,Female,1.8,Sneezing,Nasal Discharge,Loss of Appetite,Lethargy,5 days,No,Yes,No,Yes,Yes,No,No,Yes,No,38.6°C,160
Sheep,Merino,4,Male,75,Coughing,Labored Breathing,Nasal Discharge,Fever,4 days,Yes,No,No,Yes,No,Yes,Yes,No,No,40.0°C,78
Goat,Boer,5,Female,68,Diarrhea,Dehydration,Lethargy,Loss of Appetite,6 days,Yes,No,Yes,No,No,Yes,No,No,Yes,39.3°C,82
Pig,Yorkshire,2,Male,110,Vomiting,Diarrhea,Loss of Appetite,Fever,3 days,No,Yes,No,Yes,Yes,No,No,Yes,Yes,39.5°C,85
Dog,Dachshund,4,Female,9,Lethargy,Vomiting,Loss of Appetite,Dehydration,3 days,Yes,No,Yes,No,Yes,Yes,No,No,No,39.0°C,132
Cat,Siamese,6,Male,4.2,Coughing,Sneezing,Eye Discharge,Lethargy,4 days,Yes,No,No,Yes,No,Yes,Yes,No,Yes,38.7°C,140
Horse,Clydesdale,12,Female,600,Fever,Swollen Joints,Appetite Loss,Lameness,6 days,No,No,Yes,No,Yes,Yes,No,Yes,No,39.6°C,77
Cow,Angus,8,Male,580,Coughing,Labored Breathing,Lethargy,Nasal Discharge,5 days,Yes,No,No,Yes,No,Yes,No,No,Yes,40.0°C,83
Rabbit,Mini Rex,2,Male,1.6,Diarrhea,Loss of Appetite,Dehydration,Weight Loss,3 days,No,Yes,No,Yes,No,Yes,No,No,Yes,38.5°C,155
Sheep,Suffolk,3,Female,80,Weight Loss,Lethargy,Loss of Appetite,Reduced Wool Growth,8 days,Yes,No,Yes,No,No,Yes,No,Yes,No,39.8°C,77
Goat,Alpine,4,Male,72,Fever,Lethargy,Weight Loss,Loss of Appetite,7 days,No,Yes,No,No,Yes,Yes,No,No,Yes,39.7°C,83
Pig,Duroc,3,Female,115,Sneezing,Coughing,Nasal Discharge,Labored Breathing,5 days,Yes,No,Yes,No,No,Yes,Yes,No,No,40.0°C,80
Dog,Corgi,5,Male,11,Vomiting,Diarrhea,Lethargy,Weight Loss,3 days,Yes,No,Yes,No,No,Yes,No,Yes,No,39.2°C,134
Cat,Burmese,8,Female,4.5,Eye Discharge,Nasal Discharge,Sneezing,Lethargy,6 days,Yes,No,Yes,Yes,No,Yes,No,No,Yes,38.6°C,139
Horse,Paint,14,Male,500,Lameness,Weight Loss,Reduced Appetite,Swollen Joints,10 days,No,Yes,No,Yes,Yes,No,No,Yes,No,39.5°C,76
Cow,Hereford,7,Female,590,Diarrhea,Dehydration,Lethargy,Appetite Loss,6 days,Yes,Yes,No,No,Yes,No,No,Yes,No,39.3°C,84
Rabbit,Flemish Giant,5,Female,6.8,Lethargy,Appetite Loss,Weight Loss,Diarrhea,5 days,Yes,No,Yes,No,Yes,Yes,No,No,Yes,39.0°C,150
Sheep,Dorper,6,Male,65,Coughing,Labored Breathing,Nasal Discharge,Appetite Loss,4 days,No,No,Yes,Yes,No,Yes,Yes,No,Yes,39.9°C,80
Goat,Nubian,3,Female,70,Diarrhea,Dehydration,Lethargy,Appetite Loss,5 days,Yes,Yes,No,No,No,Yes,No,Yes,Yes,39.4°C,81
Dog,Poodle,7,Female,15,Lethargy,Vomiting,Loss of Appetite,Diarrhea,4 days,Yes,No,Yes,No,No,Yes,No,Yes,No,39.1°C,125
Cat,Maine Coon,5,Male,5.2,Nasal Discharge,Eye Discharge,Sneezing,Lethargy,3 days,Yes,Yes,No,Yes,No,No,No,Yes,No,38.8°C,140
Horse,Arabian,9,Female,460,Lameness,Swollen Joints,Loss of Appetite,Reduced Mobility,6 days,No,Yes,No,No,Yes,Yes,No,Yes,Yes,39.6°C,78
Cow,Jersey,6,Male,570,Coughing,Nasal Discharge,Labored Breathing,Fever,5 days,Yes,No,Yes,No,Yes,No,No,Yes,Yes,39.4°C,81
Rabbit,English Angora,4,Female,2.1,Sneezing,Nasal Discharge,Weight Loss,Lethargy,3 days,Yes,No,No,Yes,Yes,No,Yes,No,Yes,38.6°C,150
Sheep,Cheviot,5,Male,85,Weight Loss,Reduced Wool Production,Lethargy,Loss of Appetite,7 days,Yes,Yes,No,No,Yes,No,No,No,Yes,39.2°C,79
Goat,Toggenburg,7,Female,65,Diarrhea,Dehydration,Lethargy,Appetite Loss,5 days,Yes,Yes,No,Yes,No,Yes,No,Yes,No,39.3°C,80
Pig,Berkshire,2,Male,115,Coughing,Nasal Discharge,Lethargy,Fever,4 days,Yes,No,No,Yes,Yes,No,Yes,No,Yes,39.8°C,85
Dog,Shih Tzu,8,Female,8,Lethargy,Vomiting,Diarrhea,Loss of Appetite,5 days,Yes,No,Yes,Yes,No,No,No,No,Yes,39.0°C,130
Cat,Scottish Fold,4,Male,4.3,Nasal Discharge,Eye Discharge,Sneezing,Lethargy,3 days,Yes,No,Yes,No,No,Yes,No,Yes,Yes,38.7°C,143
Horse,Belgian,13,Female,650,Lameness,Swollen Joints,Fever,Weight Loss,8 days,No,Yes,No,Yes,Yes,No,No,No,Yes,39.5°C,74
Cow,Brown Swiss,9,Male,600,Labored Breathing,Nasal Discharge,Coughing,Fever,6 days,Yes,No,Yes,Yes,No,Yes,No,No,Yes,39.6°C,80
Rabbit,Himalayan,3,Male,1.9,Sneezing,Eye Discharge,Nasal Discharge,Lethargy,2 days,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,38.4°C,160
Sheep,Romney,6,Female,78,Weight Loss,Lethargy,Loss of Appetite,Swollen Joints,9 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.7°C,76
Goat,Kiko,3,Male,75,Nasal Discharge,Fever,Weight Loss,Loss of Appetite,6 days,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,39.2°C,82
Pig,Tamworth,4,Female,120,Vomiting,Diarrhea,Appetite Loss,Fever,5 days,Yes,Yes,No,Yes,Yes,No,Yes,No,No,39.6°C,84
Dog,Beagle,6,Male,13,Coughing,Labored Breathing,Nasal Discharge,Fever,4 days,Yes,No,No,Yes,Yes,Yes,No,Yes,No,39.4°C,127
Cat,Russian Blue,5,Female,4.7,Eye Discharge,Nasal Discharge,Sneezing,Lethargy,5 days,Yes,Yes,No,No,No,Yes,No,Yes,Yes,38.6°C,145
Horse,Shetland Pony,11,Male,300,Lameness,Swollen Joints,Appetite Loss,Weight Loss,7 days,Yes,Yes,No,Yes,No,Yes,No,Yes,No,39.6°C,80
Cow,Holstein,7,Female,650,Coughing,Nasal Discharge,Appetite Loss,Fever,5 days,Yes,No,No,Yes,Yes,No,No,Yes,No,39.4°C,79
Rabbit,Dutch,2,Female,1.4,Sneezing,Nasal Discharge,Lethargy,Loss of Appetite,3 days,Yes,No,Yes,Yes,No,Yes,No,No,Yes,38.8°C,155
Sheep,Lincoln,8,Male,95,Lethargy,Swollen Joints,Fever,Loss of Appetite,6 days,No,Yes,No,Yes,Yes,No,Yes,No,Yes,39.9°C,75
Goat,LaMancha,5,Female,72,Diarrhea,Loss of Appetite,Lethargy,Dehydration,7 days,Yes,No,Yes,No,No,Yes,No,Yes,No,39.2°C,82
Pig,Poland China,3,Male,110,Fever,Coughing,Nasal Discharge,Weight Loss,6 days,No,Yes,Yes,No,Yes,No,Yes,No,Yes,39.8°C,87
Dog,Golden Retriever,7,Male,30,Vomiting,Diarrhea,Loss of Appetite,Lethargy,6 days,Yes,No,Yes,Yes,No,No,Yes,No,No,39.5°C,118
Cat,Sphynx,4,Male,5.2,Vomiting,Diarrhea,Loss of Appetite,Lethargy,5 days,Yes,Yes,Yes,No,Yes,Yes,No,No,No,39.1°C,148
Horse,Clydesdale,15,Female,700,Swollen Joints,Lameness,Weight Loss,Lethargy,8 days,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,39.5°C,77
Cow,Simmental,8,Male,580,Appetite Loss,Weight Loss,Fever,Lethargy,6 days,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,39.3°C,80
Rabbit,Mini Rex,1,Female,1.2,Nasal Discharge,Lethargy,Loss of Appetite,Sneezing,2 days,Yes,No,Yes,No,Yes,No,Yes,No,No,38.7°C,165
Dog,Rottweiler,5,Female,42,Lethargy,Vomiting,Loss of Appetite,Coughing,4 days,Yes,Yes,No,Yes,No,Yes,Yes,No,No,39.2°C,120
Cat,Bengal,3,Male,5.5,Nasal Discharge,Coughing,Sneezing,Lethargy,5 days,Yes,Yes,No,Yes,No,Yes,No,No,Yes,38.9°C,140
Horse,Thoroughbred,7,Female,480,Lameness,Loss of Appetite,Swollen Legs,Fever,6 days,No,Yes,Yes,No,Yes,Yes,No,Yes,No,39.6°C,75
Cow,Angus,6,Male,550,Coughing,Nasal Discharge,Fever,Weight Loss,7 days,Yes,No,Yes,Yes,Yes,No,Yes,No,No,39.4°C,82
Rabbit,Himalayan,2,Male,1.6,Nasal Discharge,Sneezing,Lethargy,Appetite Loss,3 days,Yes,Yes,No,Yes,No,No,Yes,No,No,38.5°C,150
Sheep,Texel,4,Female,85,Lameness,Swollen Joints,Loss of Appetite,Diarrhea,5 days,Yes,No,No,Yes,No,No,Yes,Yes,No,39.3°C,76
Goat,Alpine,5,Male,72,Vomiting,Diarrhea,Fever,Loss of Appetite,6 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.0°C,81
Pig,Duroc,3,Female,100,Coughing,Nasal Discharge,Loss of Appetite,Lethargy,4 days,Yes,No,Yes,No,Yes,Yes,No,No,Yes,39.5°C,88
Dog,Doberman Pinscher,6,Male,40,Vomiting,Lethargy,Loss of Appetite,Coughing,5 days,Yes,Yes,No,Yes,No,No,Yes,Yes,No,39.3°C,119
Cat,Siamese,4,Female,4.2,Nasal Discharge,Lethargy,Loss of Appetite,Fever,6 days,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,38.8°C,145
Horse,Pinto,9,Male,530,Lameness,Coughing,Loss of Appetite,Swollen Legs,7 days,No,Yes,No,Yes,Yes,No,No,Yes,No,39.7°C,77
Cow,Charolais,5,Female,620,Lethargy,Coughing,Nasal Discharge,Fever,4 days,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,39.6°C,81
